x,y,z
-0.96,-0.38,-0.704
-0.864,-0.34199999999999997,-0.6335999999999999
-0.7776,-0.30779999999999996,-0.5702400000000001
-0.5154834982028884,-0.2581723299705078,-0.48989175405771024
-0.155493056448606,-0.23099833762793137,-0.4503044329579004
-0.2554497174126159,-0.2521008404000966,-0.4846874134570706
-0.4024940669559404,-0.24656128923898507,-0.4666046714774058
-0.4942875381621257,-0.21234609867538623,-0.39678510722419746
-0.5058206045475458,-0.16994508086301516,-0.3143110681303691
-0.4669306194826899,-0.14008538638049856,-0.2534283078808895
-0.4202440898787587,-0.1259990636843579,-0.22761472448144565
-0.37821968089088287,-0.11339915731592211,-0.20485325203330107
-0.34039771280179454,-0.1020592415843299,-0.18436792682997094
-0.3063579415216151,-0.0918533174258969,-0.16593113414697386
-0.27572214736945355,-0.08266798568330722,-0.14933802073227648
-0.24814993263250817,-0.0744011871149765,-0.13440421865904884
-0.2233349393692573,-0.06696106840347885,-0.12096379679314395
-0.20100144543233156,-0.060264961563130964,-0.10886741711382958
-0.1809013008890984,-0.05423846540681787,-0.09798067540244665
-0.1628111708001886,-0.048814618866136084,-0.088182607862202
-0.1465300537201697,-0.043933156979522464,-0.07936434707598178
-0.13187704834815273,-0.03953984128157023,-0.07142791236838358
-0.11868934351333749,-0.0355858571534132,-0.06428512113154522
-0.10682040916200375,-0.03202727143807188,-0.05785660901839068
-0.09613836824580335,-0.028824544294264703,-0.05207094811655161
-0.08652453142122296,-0.02594208986483823,-0.04686385330489645
